Jogador;Time;Idade;Gols;Assist;xG;xA;PrgC;PrgP;PrgR;TklDef;TklMc;TklAta;Cortes;PassCmp;PassAtt;DistTot;DistPrg;Pos
Fabian Schar;Newcastle;30;0.03;0.08;0.14;0.09;0.76;3.90;0.90;0.87;0.37;0.08;1.46;40.0;51.9;822.7;330.8;Zag
Robin Koch;Leeds United;26;0.00;0.00;0.04;0.01;0.31;3.23;0.31;0.91;0.45;0.14;1.22;34.8;45.2;678.3;302.4;Zag
Bukayo Saka;Arsenal;20;0.40;0.31;0.32;0.24;5.07;3.09;14.7;0.62;0.42;0.74;0.40;29.9;40.5;436.4;104.6;Ata
Tyrone Mings;Aston Villa;29;0.03;0.06;0.03;0.04;0.57;3.17;0.20;0.29;0.14;0.00;1.54;46.2;54.3;883.8;333.6;Zag
Moises Caicedo;Brighton;20;0.03;0.03;0.05;0.08;1.09;6.28;1.75;1.17;1.35;0.34;1.60;57.1;64.5;864.7;230.3;Vol
Pierre Hojbjerg;Tottenham;26;0.11;0.14;0.06;0.09;1.32;6.75;1.90;0.80;0.63;0.17;1.41;58.1;65.9;1043.8;278.9;Vol
Sven Botman;Newcastle;22;0.00;0.00;0.07;0.03;0.23;2.51;0.14;0.89;0.20;0.00;0.98;44.0;50.9;883.6;323.7;Zag
Ollie Watkins;Aston Villa;26;0.43;0.17;0.48;0.11;1.44;1.12;5.65;0.09;0.37;0.09;0.29;11.3;16.3;134.9;24.2;Ata
Martin Odegaard;Arsenal;23;0.43;0.20;0.29;0.23;2.39;7.67;5.56;0.35;0.40;0.29;0.17;41.8;52.0;649.6;173.3;Mei
Dan Burn;Newcastle;30;0.03;0.00;0.06;0.04;0.84;3.41;1.33;0.84;0.66;0.23;0.92;39.3;49.6;642.6;255.9;Lat
Joao Palhinha;Fullham;27;0.09;0.00;0.08;0.01;0.23;2.93;0.52;1.68;1.88;0.70;1.33;30.5;36.9;528.2;125.7;Vol
Antonee Robinson;Fullham;24;0.00;0.03;0.00;0.04;3.27;3.76;4.46;1.25;0.44;0.12;1.55;40.9;55.7;709.2;282.3;Lat
